"sentence","related_fact"
"Merging linked lists reuses nodes by relinking pointers.","This avoids allocating new list nodes unnecessarily."
"Recursive list algorithms use call stack proportional to length.","Very long lists can risk stack overflow."
"A tail pointer makes appending to a list constant time.","Without it each append may require walking to the end."
"Doubly linked lists support removal with direct node access.","Extra backward pointers increase memory and update complexity."
"Linked list algorithms are prone to lost sublists.","Temporary variables protect nodes before pointer changes."
"Finding intersections depends on node reference equality.","Equal stored values are not enough to prove sharing."
"Lists provide stable node addresses during insertions.","Arrays may move elements when resized or shifted."
"Pointer reversal can solve some list tasks in constant space.","It temporarily destroys the original direction."
"A sentinel node can represent empty list boundaries.","It reduces special cases for head and tail operations."
"Linked lists have poor cache locality compared with arrays.","Pointer chasing can be slower despite good asymptotic bounds."
"Splitting a list requires cutting the connecting pointer.","Otherwise both halves may still share a tail."
"List invariants should state where each pointer chain begins.","Clear invariants prevent accidental cycles and leaks."
"Tree recursion naturally follows parent to child structure.","Each call solves the same task on a smaller subtree."
"A tree with n nodes has exactly n minus one edges.","This holds for connected acyclic undirected trees."
"Tree height controls recursion depth and many operation costs.","Skewed trees can make height linear."
"Balanced trees keep height logarithmic in the number of nodes.","This enables efficient search and update operations."
"Preorder traversal visits a node before its children.","It is useful when parent information must be processed first."
"Postorder traversal visits children before their parent.","It is useful when results depend on complete subtrees."
"Inorder traversal has special meaning for binary search trees.","It lists values in sorted order."
"Level order traversal groups nodes by depth.","It is usually implemented with breadth first search."
"Tree diameter often combines two deepest child paths.","The best path may pass through the current node."
"Subtree sizes can be computed with postorder recursion.","Each node contributes one plus sizes of its children."
"Lowest common ancestor reasoning depends on ancestor relationships.","Returning signals from subtrees identifies where targets diverge."
"Tree recursion needs a base case for empty children.","Null subtrees usually contribute neutral values."
"A full binary tree has nodes with zero or two children.","This structural property helps count leaves and internal nodes."
"A complete binary tree fills levels from left to right.","Heaps rely on this shape for array storage."
"Tree traversals can be iterative with explicit stacks.","The stack replaces the hidden recursion call stack."
"Recursive tree algorithms should avoid recomputing subtree results.","Repeated traversal can turn linear work into quadratic work."
"Rooted trees assign direction from parent to children.","This simplifies depth and ancestor definitions."
"A subtree is itself a valid tree.","This self similar property enables divide and conquer reasoning."
"Tree path problems often require local and global answers.","The returned value may differ from the best overall value."
"Binary tree width depends on positions not just node counts.","Missing nodes can affect conceptual level spacing."
"Binary search tree ordering compares every node with allowed bounds.","Checking only direct children misses deeper violations."
"BST search follows one branch after each comparison.","This gives logarithmic time only when height is logarithmic."
"Inorder traversal of a valid BST yields increasing values.","Duplicates require a clearly defined placement policy."
"BST insertion preserves ordering by descending to a leaf.","The new node attaches where the search terminates."
"BST deletion is hardest when removing a node with two children.","Replacing with successor or predecessor preserves sorted order."
"The successor is the smallest value greater than a node.","It is found by moving right then far left."
"The predecessor is the largest value smaller than a node.","It is found by moving left then far right."
"Unbalanced BSTs can degrade to linked list behavior.","Sorted insertion order is a common cause."
"Self balancing trees rotate to restore height guarantees.","Rotations preserve inorder ordering while changing structure."
"BST range queries prune branches outside the requested interval.","Ordering lets entire subtrees be skipped safely."
"Validating a BST with bounds catches hidden ordering violations.","Each recursive call narrows the allowed value range."
"BSTs support ordered operations that hash tables lack.","They can find neighbors and ranges efficiently."
"A BST is not automatically balanced.","The shape depends on insertion order unless rebalanced."
"Duplicate handling affects search and traversal semantics.","Consistent rules prevent equal keys from appearing unpredictably."
"BST height is the key performance variable.","Node count alone does not guarantee fast operations."
"Randomized treaps use priorities to balance expected height.","They combine binary search ordering with heap ordering."
"AVL trees maintain stricter balance than red black trees.","This improves lookup height but can require more rotations."
"Red black trees trade looser balance for fewer updates.","They keep operations logarithmic in the worst case."
"BST iterators can use a stack for next smallest access.","The stack stores the path to future successors."
"Order statistic trees store subtree sizes.","They can answer rank queries efficiently."
"Heaps keep the best priority element at the root.","They do not keep all elements globally sorted."
"A binary heap uses a complete tree shape.","Array indices can represent parent and child relationships."
"Heap insertion bubbles the new element upward.","Swaps continue until the heap property is restored."
"Heap removal replaces the root with the last element.","The replacement sinks until children no longer dominate it."
"Heap peek is constant time while removal is logarithmic.","Only root access avoids restructuring."
"Building a heap from an array is linear time.","Bottom up sinking is cheaper than repeated insertion."
"Heaps are ideal for repeated minimum or maximum extraction.","They avoid sorting everything when only extremes matter."
"A min heap returns the smallest priority first.","Changing priority requires locating the element efficiently."
"Binary heaps do not support fast arbitrary deletion by default.","Extra index maps can repair this limitation."
"Priority queues hide heap implementation details.","Their ordering depends on the comparator used."
"Heap sort uses a heap to repeatedly select extremes.","It sorts in place but is not stable."
"K way merging uses a heap of current candidates.","The heap size depends on the number of active sequences."
"Streaming top elements can be tracked with a bounded heap.","Keeping only useful candidates saves memory."
"A heap invariant is local between parents and children.","Local order is enough to guarantee root priority."
"Dary heaps reduce height by increasing branching factor.","They trade fewer levels for more child comparisons."
"Lazy deletion can simplify heap updates.","Stale entries are ignored when they reach the root."
"Heaps handle dynamic priorities better than sorted arrays for insertions.","Sorted arrays provide faster scanning but slower insertion."
"The heap root may not reveal the second best element directly.","Only its children are guaranteed immediate candidates."
"Heap based graph algorithms rely on extracting tentative best states.","Duplicate entries may appear when decrease key is unavailable."
"Median maintenance can use two heaps.","One heap stores lower values and the other stores upper values."
"Graphs model relationships where nodes can have many neighbors.","Algorithm cost often depends on both vertices and edges."
"Adjacency lists are efficient for sparse graphs.","Adjacency matrices allow constant time edge existence checks."
"Directed edges have an orientation from one vertex to another.","Reachability can differ depending on traversal direction."
"Undirected graphs store each edge in both neighbor lists.","This doubles adjacency entries but simplifies traversal."
"Weighted graphs attach costs to edges.","Unweighted shortest path assumptions no longer apply."
"A connected component is a maximal reachable group.","Traversals can label all vertices in one component."
"Graph cycles can break simple tree recursion assumptions.","Visited sets prevent infinite revisiting."
"Topological ordering exists only in directed acyclic graphs.","A cycle makes dependency ordering impossible."
"Sparse graphs have far fewer edges than all possible pairs.","Adjacency lists usually save memory in such cases."
"Dense graphs can make matrix representation reasonable.","Edge checks become fast at the cost of quadratic memory."
"Graph traversal complexity is linear in vertices plus edges.","Each adjacency entry should be processed a bounded number of times."
"Bipartite graphs can be colored using two colors.","An odd cycle makes such coloring impossible."
"A graph can be disconnected even when every edge is valid.","Algorithms may need to start traversal from every vertex."
"Shortest path strategy depends on edge weights.","Negative edges require algorithms designed for them."
"Minimum spanning trees apply to connected weighted undirected graphs.","They connect all vertices with minimum total edge cost."
"A tree is a connected graph without cycles.","Adding one extra edge creates exactly one cycle."
"Degree counts incident edges of a vertex.","Directed graphs separate incoming and outgoing degree."
"Graph representation should match the operations needed.","Fast traversal and fast edge lookup favor different structures."
"State graphs can represent choices during search.","The number of states may exceed original input size."
"Implicit graphs generate neighbors on demand.","This avoids storing every possible edge explicitly."
"Depth first search explores as far as possible before backtracking.","The recursion stack records the current active path."
"DFS can detect cycles using visitation states.","Gray nodes indicate an edge back to the active path."
"DFS finishing times help reason about dependency order.","Later finishing nodes often appear earlier in topological order."
"Recursive DFS may overflow on very deep graphs.","An explicit stack gives more control over memory."
"DFS tree edges show how vertices were first discovered.","Other edges reveal cycles or cross connections."
"Backtracking is DFS over a decision tree.","Undoing choices restores state for sibling branches."
"DFS can compute connected components in undirected graphs.","Each fresh start discovers one whole component."
"DFS preorder records discovery order.","Postorder records completion after exploring descendants."
"Low link values identify bridges and articulation structure.","They track earliest reachable ancestors through back edges."
"DFS on grids treats cells as graph vertices.","Neighbor generation replaces explicit adjacency lists."
"A visited set is essential when graph paths can loop.","Without it DFS may never terminate."
"DFS space depends on maximum recursion depth.","In the worst case that depth can be linear."
"DFS is not guaranteed to find shortest paths in unweighted graphs.","It may follow a long branch before a short route."
"DFS can test reachability between two vertices.","Stopping early saves work after the target is found."
"Tree DFS does not require a visited set when parent links are absent.","Each child is reached through exactly one path."
"DFS component labeling can support later queries.","Precomputed labels answer connectivity in constant time."
"DFS order depends on neighbor ordering.","Different adjacency orders can produce different traversal sequences."
"Path specific visited sets differ from global visited sets.","Backtracking sometimes must revisit vertices in different paths."
"DFS correctness often uses induction on explored subtrees.","Each recursive call fully handles its reachable region."
"Iterative DFS must push neighbors carefully for desired order.","Stack order reverses the sequence of exploration."
"Breadth first search explores vertices by increasing distance.","This property gives shortest paths in unweighted graphs."
"BFS uses layers to separate equal distance vertices.","The next layer is discovered from the current frontier."
"A BFS queue stores vertices awaiting expansion.","First in first out order preserves distance layering."
"BFS should mark vertices when enqueued.","Marking later can create duplicate queue entries."
"Unweighted shortest paths rely on equal edge cost.","Weighted graphs need priority based methods instead."
"BFS parent pointers can reconstruct shortest paths.","Each parent records the first discovery route."
"Multi source BFS starts with many initial vertices.","Distances measure closeness to the nearest source."
"Grid BFS treats neighboring cells as edges.","Bounds and blocked cells define valid neighbors."
"BFS space can grow with the widest frontier.","Wide graphs may require large queues."
"Level counting in BFS requires processing frontier sizes.","This separates nodes by distance correctly."
"BFS can test bipartiteness using alternating colors.","An edge within the same color shows failure."
"BFS on implicit graphs generates next states lazily.","Only reached states need memory."
"Bidirectional BFS can reduce search depth.","It works best when start and target are both known."
"BFS finds minimum number of edges not minimum total weight.","Edge weights change the meaning of distance."
"Visited states in BFS should include all relevant state variables.","Ignoring state dimensions can merge different situations incorrectly."
"BFS can solve shortest transformation problems over state spaces.","The graph need not be explicitly stored."
"A queue based BFS is linear in reachable vertices and edges.","Each discovered vertex is expanded once."
"BFS order among same depth nodes depends on neighbor order.","Shortest distance remains correct despite tie differences."
"BFS in trees can compute depth without recursion.","The queue naturally processes nodes level by level."
"BFS frontier expansion resembles wave propagation.","The first time a vertex is reached gives minimal steps."
"Dynamic programming stores solutions to overlapping subproblems.","Reuse only helps when subproblems repeat."
"A DP state must capture all information needed for future choices.","Missing information makes transitions incorrect."
"Memoization computes states lazily through recursion.","Tabulation computes states in a chosen iterative order."
"Transition order must respect dependencies between states.","A state cannot use values that are not ready."
"DP recurrence correctness needs optimal substructure.","The best answer must be built from best smaller answers."
"Base cases anchor dynamic programming recurrences.","Wrong base cases corrupt every dependent state."
"One dimensional DP can sometimes replace a table.","Compression is valid only when old values are no longer needed."
"Knapsack style DP often depends on iteration direction.","Wrong direction can reuse an item too many times."
"Interval DP solves ranges by combining smaller intervals.","Increasing length order ensures dependencies are ready."
"Tree DP combines answers from children.","Postorder traversal usually matches its dependency structure."
"Digit DP tracks prefix constraints while counting numbers.","The tight flag records whether choices remain bounded."
"Bitmask DP represents visited subsets as integer states.","It is powerful but grows exponentially with item count."
"DP is not magic for every recursion.","Without repeated subproblems caching may not reduce complexity."
"Greedy looking DP transitions still require exhaustive state comparison.","Local best choices may fail without proof."
"DP complexity equals number of states times transition cost.","Reducing either part can change feasibility."
"Memoization needs keys that uniquely represent subproblems.","Colliding or incomplete keys return wrong cached answers."
"DP can optimize counting decision and feasibility tasks.","The state meaning changes but dependency reasoning remains similar."
"Rolling arrays reduce memory from rows to recent layers.","They work when transitions use only limited previous layers."
"DP proofs often use induction over state order.","Assume smaller states correct then prove current transition."
"State explosion is the main limitation of dynamic programming.","Choosing compact states is often the real challenge."
"Greedy algorithms make locally best choices at each step.","They require proof that local choices preserve global optimality."
"An exchange argument can prove greedy correctness.","It transforms an optimal solution to include the greedy choice."
"Greedy fails when early choices block better future combinations.","Counterexamples are useful for testing the idea."
"Activity style selection works when earliest finishing leaves maximum room.","The proof relies on replacing the first chosen interval."
"Greedy scheduling often sorts by a key first.","The sort order encodes the intended dominance relation."
"A matroid structure can justify certain greedy algorithms.","Not every independence system supports greedy optimization."
"Greedy algorithms are often faster than dynamic programming.","Speed is useless without a correctness proof."
"Choosing smallest current cost can be wrong with negative consequences.","Future constraints may outweigh immediate savings."
"Interval merging uses greedy extension after sorting by starts.","Once sorted the current merged end is enough state."
"Prefix feasibility can guide greedy construction.","Each step maintains a condition that future steps can satisfy."
"Greedy with heaps handles changing best candidates dynamically.","The heap exposes the next best available option."
"Minimum spanning tree algorithms use safe edge choices.","The cut property proves certain edges can be chosen greedily."
"Shortest path with nonnegative weights uses greedy distance finalization.","Negative edges can invalidate finalized distances."
"Greedy proofs often identify a never harmful choice.","Such choices can be fixed before solving the remaining problem."
"Sorting is frequently part of greedy design.","Order reveals which decisions dominate others."
"A greedy invariant describes what is optimal after each step.","Without an invariant the strategy is only intuition."
"Greedy algorithms can optimize memory by avoiding full tables.","They store only the current decisive information."
"Tie breaking can affect implementation but not correctness.","The proof must handle equal priority choices."
"Some greedy methods produce approximate not exact answers.","Approximation quality needs its own guarantee."
"Greedy and DP can share subproblem intuition.","Greedy succeeds only when one transition always dominates."
"Comparison sorting has a logarithmic lower bound.","Any comparison sort needs many comparisons in the worst case."
"Stable sorting preserves relative order of equal keys.","This matters when sorting by multiple fields."
"Merge sort guarantees logarithmic depth and linear merging.","It needs extra memory for temporary arrays."
"Quick sort is fast on average but can degrade quadratically.","Bad pivot choices cause highly unbalanced partitions."
"Heap sort sorts in place with guaranteed logarithmic extractions.","It is usually not stable."
"Counting sort avoids comparisons by using key frequencies.","It requires a small integer key range."
"Radix sort processes digits or characters in fixed passes.","It depends on stable intermediate sorting."
"Sorting can enable two pointer and binary search techniques.","Order creates monotonic information for elimination."
"Custom comparators must define consistent ordering.","Inconsistent comparisons can break sorting algorithms."
"Insertion sort is efficient on nearly sorted data.","Small disorder causes few shifts and comparisons."
"Selection sort performs few swaps but many comparisons.","It is rarely optimal for large inputs."
"Bubble sort has simple mechanics but poor efficiency.","Its main value is educational not practical."
"Merge sort is useful for linked lists.","It avoids expensive random access during splitting and merging."
"Quick sort partitions around a pivot.","Elements on each side satisfy relative pivot conditions."
"Stable multi key sorting can be done from least important key upward.","Earlier order remains within equal later keys."
"Topological sorting is ordering not comparison sorting.","It respects dependencies rather than value comparisons."
"Sorting changes input order unless a copy is used.","This can violate constraints that require original positions."
"External sorting handles data too large for memory.","It sorts chunks then merges them from storage."
"Sorting complexity may dominate an algorithm.","Linear post processing still leaves total logarithmic factor."
"Partial sorting can be cheaper when only top elements matter.","Heaps or selection may avoid full ordering."
"Hash tables use computed positions for expected fast access.","The hash function should spread keys evenly."
"Collisions occur when distinct keys map to the same bucket.","Collision handling determines worst case behavior."
"Worst case hash operations can become linear.","Adversarial inputs or poor hashing can destroy performance."
"Load factor measures table fullness.","Rehashing keeps expected operations efficient."
"Hash sets store membership without preserving order.","Use ordered structures when sorted traversal is required."
"Hash maps associate keys with values.","Missing key handling must be explicit."
"Immutable keys are safer for hash tables.","Changing a key can make its stored bucket wrong."
"Prefix hashes can compare substrings efficiently.","Collision risk must be handled for correctness sensitive tasks."
"Frequency maps convert repeated counting into constant expected updates.","They are common in window and grouping algorithms."
"Hashing trades memory for faster lookup.","The extra storage often prevents repeated scanning."
"Open addressing stores entries directly in the table.","Clustering can increase probe lengths."
"Chaining stores collided keys in separate containers.","Long chains cause slower lookup."
"A good hash key must include all relevant identity fields.","Incomplete keys merge distinct states incorrectly."
"Hash based grouping depends on equal items sharing a key.","Canonical representations help group equivalent objects."
"Sets can detect duplicates during a single scan.","The first repeated insertion reveals prior occurrence."
"Hash maps have no guaranteed iteration order in many languages.","Relying on order can create hidden bugs."
"Rehashing changes bucket positions but not logical contents.","Iterators or references may become invalid."
"Rolling hash supports sliding substring fingerprints.","Removing the outgoing character requires reversible arithmetic."
"Hashing floating point values can be risky.","Precision issues make equality and keys unstable."
"Hash tables are excellent for exact lookup.","They do not support range queries efficiently."
"Union find maintains disjoint groups under merge operations.","It answers whether two items share a representative."
"Path compression flattens trees during find.","Future queries become faster after each compression."
"Union by rank avoids attaching tall trees under short ones.","This keeps representative trees shallow."
"Union by size attaches smaller sets under larger sets.","The larger tree height grows slowly."
"Find returns the representative of an element set.","Representatives may change after union operations."
"Union find is efficient for dynamic connectivity with only additions.","Edge deletions are not directly supported."
"The amortized cost of union find is nearly constant.","This requires both compression and balanced union."
"A union operation should merge representatives not raw nodes.","Merging raw nodes can corrupt the set structure."
"Connected components can be tracked with union find.","Each successful union reduces the component count by one."
"Cycle detection in undirected graphs can use union find.","An edge within the same set reveals a cycle."
"Union find does not preserve the actual path between nodes.","It only stores component membership."
"Path compression can be recursive or iterative.","Both aim to point nodes closer to the root."
"Rank is an upper bound on tree height.","After compression it may not equal the real height."
"Union find works on identifiers after mapping them to indices.","The mapping step is separate from the structure."
"Rollback union find supports undoing merges.","It usually avoids path compression for easier reversal."
"Weighted union find stores relationships to representatives.","It can track relative differences within components."
"Union find is not suitable for ordered neighbor queries.","It knows groups but not internal arrangement."
"Initial union find starts with every element alone.","Each item is its own representative."
"The parent array encodes forest structure.","Roots are exactly elements whose parent is themselves."
"Correctness relies on representatives uniquely identifying components.","Every member must eventually lead to the same root."
"Arrays provide constant time access by index.","They require contiguous memory and fixed element positions."
"Dynamic arrays resize by allocating larger backing storage.","Amortized append remains constant despite occasional copying."
"Stacks follow last in first out order.","They naturally model nested or reversible processes."
"Queues follow first in first out order.","They preserve arrival order for breadth style processing."
"Deques support insertion and removal at both ends.","They are useful for maintaining window candidates."
"Sets represent unique membership.","They avoid duplicates by equality checks."
"Maps store associations from keys to values.","They replace repeated searches with direct lookup."
"Tries store strings by shared prefixes.","They speed prefix queries at the cost of memory."
"Segment trees answer range queries with point or range updates.","They trade linear memory for logarithmic operations."
"Fenwick trees maintain prefix aggregates efficiently.","They require an invertible operation for range queries."
"Sparse tables answer static range idempotent queries quickly.","Updates are not supported efficiently."
"Disjoint sets represent partitions of elements.","They merge groups without listing all members."
"Balanced trees keep sorted data with logarithmic operations.","They support predecessor successor and range queries."
"Bitsets pack boolean states into machine words.","They can speed set operations through word level parallelism."
"Priority queues return the highest priority item efficiently.","They do not support ordered iteration of all items."
"Graphs can be stored using lists matrices or edge lists.","The best representation depends on traversal and query needs."
"Choosing a data structure determines available invariants.","Algorithms become simpler when the structure matches operations."
"Memory layout can affect real performance beyond big O.","Contiguous arrays often use cache better than pointer structures."
"Immutable data structures simplify reasoning about shared state.","They may allocate more memory during updates."
"A well chosen invariant makes data structures easier to verify.","Every operation should preserve the invariant after completion."
